,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1
,ID,"8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
582,4.850000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.460608,-0.243019,-0.096125,0.848258,-54.496616,84.068657,26.641356,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.921675,-0.204733,0.299777,0.136873,-149.427826,134.473328,37.947044,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
583,4.858333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.460608,-0.243019,-0.096125,0.848258,-54.496616,84.068657,26.641356,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.921675,-0.204733,0.299777,0.136873,-149.427826,134.473328,37.947044,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
584,4.866667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461553,-0.245263,-0.095937,0.847119,-54.502220,84.098267,26.610258,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.921675,-0.204733,0.299777,0.136873,-149.427826,134.473328,37.947044,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
585,4.875000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.921675,-0.204733,0.299777,0.136873,-149.427826,134.473328,37.947044,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
586,4.883333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.921675,-0.204733,0.299777,0.136873,-149.427826,134.473328,37.947044,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
587,4.891667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.917835,-0.200967,0.323288,0.112589,-152.006165,134.354431,29.759817,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
588,4.900000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.921027,-0.191970,0.327937,0.085523,-152.435349,134.989105,28.820093,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
589,4.908333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.919085,-0.197472,0.325606,0.101337,-152.872635,135.207870,28.382151,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
590,4.916667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.919085,-0.197472,0.325606,0.101337,-152.872635,135.207870,28.382151,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
591,4.925000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.919085,-0.197472,0.325606,0.101337,-152.872635,135.207870,28.382151,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
592,4.933333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.919085,-0.197472,0.325606,0.101337,-152.872635,135.207870,28.382151,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
593,4.941667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.919085,-0.197472,0.325606,0.101337,-152.872635,135.207870,28.382151,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
594,4.950000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.919085,-0.197472,0.325606,0.101337,-152.872635,135.207870,28.382151,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
595,4.958333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245825,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.919085,-0.197472,0.325606,0.101337,-152.872635,135.207870,28.382151,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
596,4.966667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.461606,-0.245826,-0.094915,0.847042,-54.492996,84.074753,26.579977,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.919085,-0.197472,0.325606,0.101337,-152.872635,135.207870,28.382151,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
597,4.975000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.462306,-0.182698,-0.110547,0.860624,-54.895279,81.580093,23.472000,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.919085,-0.197472,0.325606,0.101337,-152.872635,135.207870,28.382151,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
598,4.983333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.462306,-0.182698,-0.110547,0.860624,-54.895279,81.580093,23.472000,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.919085,-0.197472,0.325606,0.101337,-152.872635,135.207870,28.382151,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
599,4.991667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.462306,-0.182698,-0.110547,0.860624,-54.895279,81.580093,23.472000,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
600,5.000000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.462306,-0.182698,-0.110547,0.860624,-54.895279,81.580093,23.472000,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
601,5.008333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.462306,-0.182698,-0.110547,0.860624,-54.895279,81.580093,23.472000,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
602,5.016667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.462306,-0.182698,-0.110547,0.860624,-54.895279,81.580093,23.472000,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
603,5.025000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.462306,-0.182698,-0.110547,0.860624,-54.895279,81.580093,23.472000,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
604,5.033333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.462306,-0.182698,-0.110547,0.860624,-54.895279,81.580093,23.472000,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
605,5.041667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463552,-0.183784,-0.110795,0.859691,-54.877289,81.503380,23.359072,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
606,5.050000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463935,-0.183999,-0.110232,0.859510,-54.865837,81.487778,23.343470,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
607,5.058333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463935,-0.183999,-0.110232,0.859510,-54.865837,81.487778,23.343470,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
608,5.066667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.464396,-0.184094,-0.110470,0.859210,-54.835075,81.461418,23.302347,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
609,5.075000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.464848,-0.183609,-0.110632,0.859049,-54.818470,81.435310,23.271423,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.410402,0.211320,0.260974,-0.847825,-163.170700,139.152023,21.399422,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
610,5.083333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.464344,-0.183926,-0.110685,0.859247,-54.799866,81.438042,23.247353,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.277897,0.247295,0.208808,-0.904443,-175.317673,143.778473,10.415565,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
611,5.091667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.465054,-0.183664,-0.110751,0.858910,-54.800884,81.432320,23.224031,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.275883,0.248802,0.208414,-0.904737,-176.368774,144.064865,9.606334,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
612,5.100000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.465332,-0.183742,-0.110334,0.858797,-54.796673,81.430717,23.204155,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.275883,0.248802,0.208414,-0.904737,-176.368774,144.064865,9.606334,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
613,5.108333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.465696,-0.183686,-0.110482,0.858592,-54.803699,81.413910,23.172777,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.245546,0.255722,0.196501,-0.914167,-178.253998,144.991562,7.540728,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
614,5.116667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.245546,0.255722,0.196501,-0.914167,-178.253998,144.991562,7.540728,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
615,5.125000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.245546,0.255722,0.196501,-0.914167,-178.253998,144.991562,7.540728,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
616,5.133333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.245546,0.255722,0.196501,-0.914167,-178.253998,144.991562,7.540728,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
617,5.141667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.245546,0.255722,0.196501,-0.914167,-178.253998,144.991562,7.540728,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
618,5.150000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.245546,0.255722,0.196501,-0.914167,-178.253998,144.991562,7.540728,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
619,5.158333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.225356,0.260109,0.190791,-0.919324,-181.477631,145.948227,5.145399,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
620,5.166667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.225356,0.260109,0.190791,-0.919324,-181.477631,145.948227,5.145399,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
621,5.175000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.225356,0.260109,0.190791,-0.919324,-181.477631,145.948227,5.145399,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
622,5.183333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.225356,0.260109,0.190791,-0.919324,-181.477631,145.948227,5.145399,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
623,5.191667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.225356,0.260109,0.190791,-0.919324,-181.477631,145.948227,5.145399,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
624,5.200000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.225356,0.260109,0.190791,-0.919324,-181.477631,145.948227,5.145399,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
625,5.208333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488649,-0.176131,-0.127731,0.844917,-54.504021,82.775864,22.373339,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.225356,0.260109,0.190791,-0.919324,-181.477631,145.948227,5.145399,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
626,5.216667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.488606,-0.175508,-0.127906,0.845045,-54.389156,82.667366,22.355185,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.225356,0.260109,0.190791,-0.919324,-181.477631,145.948227,5.145399,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
627,5.225000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.465791,-0.183401,-0.110787,0.858562,-54.673122,81.350830,23.151031,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.369994,0.222188,0.247748,-0.867385,-178.626236,144.286011,8.250140,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
628,5.233333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.465506,-0.183548,-0.110499,0.858723,-54.717487,81.351021,23.202335,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.369994,0.222188,0.247748,-0.867385,-178.626236,144.286011,8.250140,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
629,5.241667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.464886,-0.183938,-0.110445,0.858982,-54.751198,81.357285,23.262804,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.369994,0.222188,0.247748,-0.867385,-178.626236,144.286011,8.250140,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
630,5.250000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.441019,0.204078,0.273351,-0.830141,-176.244507,143.220398,10.620884,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
631,5.258333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.424972,0.205955,0.267264,-0.839971,-175.823029,142.965454,11.386271,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
632,5.266667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.424972,0.205955,0.267265,-0.839971,-175.823029,142.965454,11.386271,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
633,5.275000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.424972,0.205955,0.267265,-0.839971,-175.823029,142.965454,11.386271,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
634,5.283333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.403714,0.210029,0.260740,-0.851421,-173.648483,142.071121,13.725308,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
635,5.291667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.373569,0.219992,0.252450,-0.865054,-172.818710,141.763336,14.648758,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
636,5.300000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.373569,0.219992,0.252450,-0.865054,-172.818710,141.763336,14.648758,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
637,5.308333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.373569,0.219992,0.252450,-0.865054,-172.818710,141.763336,14.648758,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
638,5.316667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.405392,0.210295,0.262857,-0.849905,-169.887787,141.023682,17.152430,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
639,5.325000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.921093,-0.188622,0.334165,0.065906,-166.851166,140.068832,17.358288,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
640,5.333333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.357958,0.226428,0.247548,-0.871388,-167.922165,140.512268,18.356630,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
641,5.341667,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.442857,0.198605,0.273893,-0.830311,-166.913635,140.192703,19.030199,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
642,5.350000,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.442857,0.198605,0.273893,-0.830311,-166.913635,140.192703,19.030199,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
643,5.358333,0.435877,0.236821,0.767019,0.406950,-57.754147,88.954712,26.438726,-0.463716,-0.184829,-0.110555,0.859409,-54.793022,81.395546,23.312063,0.171387,-0.227349,0.957761,-0.040413,-1041.853394,599.070679,-289.930664,0.442857,0.198605,0.273893,-0.830311,-166.913635,140.192703,19.030199,0.277446,0.878297,-0.368866,-0.124721,-1040.225830,637.204834,-288.822601
